036	0W7XvS3X92U	judgment-day	Live! The First Angels' Message | Judgment Day Bible Study | Week 3
037	OekcHbMnU3g	judgment-day	Live! The First Angels Message | Judgment Day Bible Study | Week 3
038	Le6TMhsrtK8	judgment-day	Live! The Turk In The Bible | Judgment Day Bible Study | Week 4
039	tLfHxfwlXek	judgment-day	The Turk In The Bible | Judgment Day Bible Study | Week 4
040	Cq2LaOZFBK8	judgment-day	Live! Decoding the 1843 CHART | Judgment Day Bible Study | Week 5
041	V4XMOYEEWWI	judgment-day	Decoding the 1843 CHART | Judgment Day Bible Study | Week 5
042	k23zV2dVPno	judgment-day	Live! The Fallen Daughters of Babylon | Judgment Day Bible Study | Week 6
043	tR0ODDhruXs	judgment-day	The Fallen Daughters of Babylon | Judgment Day Bible Study | Week 6
044	RjOZvbtR6Y0	judgment-day	Do You Know  What is The TRUE Midnight Cry? | Amazing Discoveries Short
045	p2Q7wdoPaEM	judgment-day	Did You Know There is a False and TRUE Midnight Cry?
046	eJnGryS8T44	judgment-day	Live! The TRUE Midnight Cry  | Judgment Day Bible Study | Week 7
047	j98FODWVhaI	judgment-day	October 22, Real or Mythical? | Judgment Day Bible Study | Week 8
048	Fo4QdMU24C0	judgment-day	A Chart from God
049	tXjaahaEOCk	judgment-day	Vision of a Prophetic Chart
050	pEtRRYSsBcg	judgment-day	Live! Ellen White's Prophetic Charts | Judgment Day Bible Study | Week 9
051	TAie09_lhAs	judgment-day	Live! Books of a New Order | Judgment Day Bible Study | Week 10
052	0Xo9-4oE3C4	judgment-day	The Shaking | JD Study Week 11
053	rbtMdIojvvg	judgment-day	Live! The Shaking is Here  | Judgment Day Bible Study | Week 11
054	j6b9T-CY3Us	judgment-day	What are the 4 Winds and the Day of Slaughter?  | JD Study Week 12
055	xvVQBoWNzEg	judgment-day	Warning in Testimonies Volume 9 | JD Study Week 13
056	ey7_Y1eKrx0	judgment-day	The Three Angels’ Messages EXPLAINED – What You Need to Know! | JD Study
057	xr0YNdaXMJ0	judgment-day	Live! Has the Judgment of the Living Begun? Part 1 | Judgment Day Bible Study | Week 12
058	yJg42_6zm_U	judgment-day	Live! Has the Judgment of the Living Begun? Part 2 | Judgment Day Bible Study | Week 13
059	FQNmJsqaeS0	judgment-day	The Battle of Armageddon | Final Episode of Judgement Day Series | Friday at 5PM PST
060	veagyplvEpY	judgment-day	Live! The Battle of Armageddon | Judgment Day Bible Study | Week 14
